Self-harm | C0424366
[X]Intentional self harm by crashing of motor vehicle, occurrence at unspecified place | C0480490
[X]Intentional self harm by smoke, fire and flames, occurrence at unspecified place | C0480424
[X]Intentional self harm by blunt object, occurrence at trade and service area | C0480453
[X]Intentional self harm by handgun discharge, occurrence at industrial and construction area | C0480377
[X]Intentional self harm by jumping from a high place, occurrence on farm | C0480466
[X]Intentional self harm by sharp object, occurrence at industrial and construction area | C0480443
[X]Intentional self harm by handgun discharge, occurrence at trade and service area | C0480376
[X]Intentional self harm by explosive material, occurrence at industrial and construction area | C0480410
[X]Intentional self harm by blunt object, occurrence at industrial and construction area | C0480454
[X]Intentional self harm by jumping from a high place, occurrence at home | C0480459
Take action to prevent individual from harming or killing self, when contract is a no-self-harm or safety contract (e.g., increased observation, removal of objects that may be used to harm self) | C1735546
Initiate necessary precautions to safeguard the patient or others at risk for physical harm (e.g., suicide, self-harm, elopement, violence) | C0811410
poisoning solvents carbon tetrachloride intentional | C2884200
Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm | C2876842
Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm | C2883229
Poisoning by other agents primarily acting on the respiratory system, intentional self-harm | C2883254
Intentional self-harm by drowning and submersion while in swimming pool, initial encounter | C2905650
Intentional self-harm by drowning and submersion while in swimming pool, subsequent encounter | C2905651
Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, sequela | C2878949
Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, sequela | C2878818
Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm | C2879387
Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm | C2883810
Toxic effect of other specified gases, fumes and vapors, intentional self-harm, sequela | C2884980
Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm | C2878973
Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm | C2878999
Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, sequela | C2879621
Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, sequela | C2879646
Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, sequela | C2879897
Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, initial encounter | C2884994
Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, subsequent encounter | C2884995
Intentional self-harm by drowning and submersion after jump into swimming pool, sequela | C2905656
Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm | C2877511
Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, subsequent encounter | C2876570
Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, initial encounter | C2877071
Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, subsequent encounter | C2877072
Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm | C2878251
Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, sequela | C2886476
Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, initial encounter | C2876569
Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, sequela | C2876946
Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, initial encounter | C2876970
Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, subsequent encounter | C2877538
Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, initial encounter | C2877537
Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter | C2878200
Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, subsequent encounter | C2878227
Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, initial encounter | C2878380
Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, subsequent encounter | C2878381
Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, initial encounter | C2879362
Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, subsequent encounter | C2879363
Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, sequela | C2879698
Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter | C2883760
Poisoning by other drugs, medicaments and biological substances, intentional self-harm, initial encounter | C2883785
Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, subsequent encounter | C2883761
Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter | C2878226
Asphyxiation due to being trapped in bed linens, intentional self-harm, subsequent encounter | C2886365
Asphyxiation due to being trapped in bed linens, intentional self-harm, initial encounter | C2886364
Asphyxiation due to being trapped in a car trunk, intentional self-harm, sequela | C2886459
Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm, sequela | C2879310
Poisoning by other primarily systemic and hematological agents, intentional self-harm, subsequent encounter | C2879337
Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm | C2883282
Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, initial encounter | C2883610
Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm, initial encounter | C2884913
Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm, subsequent encounter | C2884914
Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm, sequela | C2886121
Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, sequela | C5140974
Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, subsequent encounter | C2876971
Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, subsequent encounter | C2878201
Poisoning by other primarily systemic and hematological agents, intentional self-harm, initial encounter | C2879336
Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, sequela | C2883586
Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, subsequent encounter | C2883611
Poisoning by other drugs, medicaments and biological substances, intentional self-harm, subsequent encounter | C2883786
Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, subsequent encounter | C2877149
Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, subsequent encounter | C2879947
Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, initial encounter | C2877148
Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, subsequent encounter | C2879871
Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, sequela | C2883838
Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, initial encounter | C2879870
Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, initial encounter | C2879946
Toxic effect of venom of other African and Asian snake, intentional self-harm | C2885423
Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, sequela | C2885611
Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm | C2886101
Toxic effect of other ingested (parts of) plant(s), intentional self-harm, sequela | C2885255
Intentional self-harm by jumping or lying in front of (subway) train, sequela | C2905784
Intentional self-harm by jumping or lying in front of motor vehicle, sequela | C2905780
Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, subsequent encounter | C2877463
Toxic effect of carbon monoxide from utility gas, intentional self-harm, subsequent encounter | C2884763
Toxic effect of other specified noxious substances eaten as food, intentional self-harm | C2885268
Toxic effect of carbon monoxide from utility gas, intentional self-harm, initial encounter | C2884762
Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, sequela | C2885287
Intentional self-harm by other gas, air or spring-operated gun, subsequent encounter | C2905708
Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, initial encounter | C2877462
Intentional self-harm by other gas, air or spring-operated gun, initial encounter | C2905707
Toxic effect of venom of other Australian snake, intentional self-harm, subsequent encounter | C2885408
Toxic effect of venom of other venomous lizard, intentional self-harm, initial encounter | C2885475
Toxic effect of contact with other venomous marine animals, intentional self-harm, sequela | C2885817
Toxic effect of contact with unspecified venomous animal, intentional self-harm, initial encounter | C2885933
Toxic effect of corrosive acids and acid-like substances, intentional self-harm, sequela | C2884384
Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, sequela | C2884400
Toxic effect of venom of other Australian snake, intentional self-harm, initial encounter | C2885407
Toxic effect of venom of other venomous lizard, intentional self-harm, subsequent encounter | C2885476
Toxic effect of venom of black widow spider, intentional self-harm, initial encounter | C2885541
Toxic effect of venom of black widow spider, intentional self-harm, subsequent encounter | C2885542
Toxic effect of venom of brown recluse spider, intentional self-harm, initial encounter | C2885575
Toxic effect of contact with other venomous animals, intentional self-harm, subsequent encounter | C2885918
Toxic effect of contact with unspecified venomous animal, intentional self-harm, subsequent encounter | C2885934
Toxic effect of contact with other venomous amphibian, intentional self-harm, subsequent encounter | C2885902
Toxic effect of contact with other venomous animals, intentional self-harm, initial encounter | C2885917
Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, sequela | C2884320
Toxic effect of venom of brown recluse spider, intentional self-harm, subsequent encounter | C2885576
Toxic effect of contact with other venomous fish, intentional self-harm, subsequent encounter | C2885747
Toxic effect of contact with venomous marine plant, intentional self-harm, initial encounter | C2885833
Toxic effect of contact with other venomous amphibian, intentional self-harm, initial encounter | C2885901
Toxic effect of contact with Portuguese Man-o-war, intentional self-harm, sequela | C5539279
Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, sequela | C2884304
Toxic effect of contact with other venomous fish, intentional self-harm, initial encounter | C2885746
Toxic effect of contact with venomous marine plant, intentional self-harm, subsequent encounter | C2885834
Toxic effect of contact with other venomous plant, intentional self-harm, initial encounter | C2885850
Toxic effect of contact with other venomous plant, intentional self-harm, subsequent encounter | C2885851
Toxic effect of carbon monoxide from other source, intentional self-harm, subsequent encounter | C2884801
Toxic effect of carbon monoxide from unspecified source, intentional self-harm, subsequent encounter | C2884818
Toxic effect of carbon monoxide from other source, intentional self-harm, initial encounter | C2884800
Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, sequela | C2884744
Toxic effect of carbon monoxide from unspecified source, intentional self-harm, initial encounter | C2884817
Anticipate trigger situations that may prompt self-harm and intervene to prevent these | C4709832
Identify immediate safety needs when negotiating a no-self-harm or safety contract | C1739321
[X]Intentional self harm by hanging, strangulation and suffocation, occurrence on street and highway | C0480353
[X]Intentional self harm by drowning and submersion, occurrence at sports and athletics area | C0480363
[X]Intentional self harm by drowning and submersion, occurrence at industrial and construction area | C0480366
[X]Intentional self harm by drowning and submersion, occurrence at trade and service area | C0480365
[X]Intentional self harm by steam, hot vapours and hot objects, occurrence on farm | C0480433
[X]Intentional self harm by other specified means, occurrence at sports and athletics area | C0480495
[X]Intentional self harm by crashing of motor vehicle, occurrence on street and highway | C0480485
[X]Intentional self harm by smoke, fire and flames, occurrence on street and highway | C0480419
[X]Intentional self harm by steam, hot vapours and hot objects, occurrence at home | C0480426
[X]Intentional self harm by other specified means, occurrence at industrial and construction area | C0480498
[X]Intentional self harm by jumping or lying before moving object, occurrence on farm | C0480477
[X]Intentional self harm by other specified means, occurrence at trade and service area | C0480497
[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at other specified place | C0480357
[X]Intentional self harm by other and unspecified firearm discharge, occurrence in residential institution | C0480394
[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence on farm | C0480389
[X]Intentional self harm by jumping or lying before moving object, occurrence at home | C0480470
[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at home | C0480382
[X]Intentional self harm by jumping from a high place, occurrence in residential institution | C0480460
[X]Intentional self harm by crashing of motor vehicle, occurrence at other specified place | C0480489
[X]Intentional self harm by other and unspecified firearm discharge, occurrence at unspecified place | C0480402
[X]Intentional self harm by smoke, fire and flames, occurrence at other specified place | C0480423
[X]Intentional self harm by jumping from a high place, occurrence at unspecified place | C0480468
self-inflicted overdose of beta-lactam antibiotics | C3506872
Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, sequela | C2876845
Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm | C2886068
Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, sequela | C2883257
Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, sequela | C2883232
Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, initial encounter | C2878947
Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, subsequent encounter | C2878948
Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm, sequela | C2879390
Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm | C2886429
Intentional self-harm by jumping or lying in front of other moving object, sequela | C2905788
Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm | C2883380
Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, initial encounter | C2878816
Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, subsequent encounter | C2878817
Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, sequela | C2877514
Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, sequela | C2879002
Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter | C2879644
Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, subsequent encounter | C2879896
Intentional self-harm by drowning and submersion after jump into swimming pool, subsequent encounter | C2905655
Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, sequela | C2878976
Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter | C2879619
Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, subsequent encounter | C2879620
Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, sequela | C2883813
Toxic effect of other specified gases, fumes and vapors, intentional self-harm, subsequent encounter | C2884979
Intentional self-harm by drowning and submersion after jump into swimming pool, initial encounter | C2905654
Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, subsequent encounter | C2879645
Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, initial encounter | C2879895
Toxic effect of other specified gases, fumes and vapors, intentional self-harm, initial encounter | C2884978
Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, sequela | C2878254
Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, initial encounter | C2883584
Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm, initial encounter | C2886119
Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, initial encounter | C2876944
Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm, subsequent encounter | C2879309
Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, initial encounter | C2879696
Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, subsequent encounter | C2879697
Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, subsequent encounter | C2876945
Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, subsequent encounter | C2883585
Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, subsequent encounter | C5140973
Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter | C5140972
Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm, initial encounter | C2879308
Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, sequela | C2883285
Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm, subsequent encounter | C2886120
Asphyxiation due to being trapped in a car trunk, intentional self-harm, initial encounter | C2886457
Asphyxiation due to being trapped in a car trunk, intentional self-harm, subsequent encounter | C2886458
Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, initial encounter | C2886474
Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, subsequent encounter | C2886475
Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, initial encounter | C2883836
Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, subsequent encounter | C2883837
Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm | C2884333
Toxic effect of other ingested (parts of) plant(s), intentional self-harm, initial encounter | C2885253
Toxic effect of other ingested (parts of) plant(s), intentional self-harm, subsequent encounter | C2885254
Toxic effect of venom of other North and South American snake, intentional self-harm | C2885389
Toxic effect of venom of other African and Asian snake, intentional self-harm, sequela | C2885426
Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm, sequela | C2886104
Intentional self-harm by jumping or lying in front of (subway) train, subsequent encounter | C2905783
Intentional self-harm by jumping or lying in front of motor vehicle, initial encounter | C2905778
Intentional self-harm by jumping or lying in front of motor vehicle, subsequent encounter | C2905779
Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, initial encounter | C2885609
Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, subsequent encounter | C2885610
Intentional self-harm by jumping or lying in front of (subway) train, initial encounter | C2905782
Toxic effect of other specified noxious substances eaten as food, intentional self-harm, sequela | C2885271
Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, initial encounter | C2885285
Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, subsequent encounter | C2885286
Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, initial encounter | C2884302
Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, subsequent encounter | C2884303
Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, subsequent encounter | C2884319
Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, subsequent encounter | C2884399
Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, initial encounter | C2884398
Toxic effect of contact with other venomous marine animals, intentional self-harm, subsequent encounter | C2885816
Toxic effect of corrosive acids and acid-like substances, intentional self-harm, subsequent encounter | C2884383
Toxic effect of contact with other venomous marine animals, intentional self-harm, initial encounter | C2885815
Toxic effect of contact with Portuguese Man-o-war, intentional self-harm, initial encounter | C5539277
Toxic effect of contact with Portuguese Man-o-war, intentional self-harm, subsequent encounter | C5539278
Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, initial encounter | C2884318
Toxic effect of corrosive acids and acid-like substances, intentional self-harm, initial encounter | C2884382
Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, initial encounter | C2884742
Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, subsequent encounter | C2884743
[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at sports and athletics area | C0480352
[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at industrial and construction area | C0480355
[X]Intentional self harm by smoke, fire and flames, occurrence at sports and athletics area | C0480418
[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at trade and service area | C0480354
[X]Intentional self harm by crashing of motor vehicle, occurrence at sports and athletics area | C0480484
[X]Intentional self harm by steam, hot vapours and hot objects, occurrence in residential institution | C0480427
[X]Intentional self harm by other and unspecified firearm discharge, occurrence on street and highway | C0480397
[X]Intentional self harm by jumping or lying before moving object, occurrence in residential institution | C0480471
[X]Intentional self harm by steam, hot vapours and hot objects, occurrence at unspecified place | C0480435
[X]Intentional self harm by jumping from a high place, occurrence on street and highway | C0480463
[X]Intentional self harm by smoke, fire and flames, occurrence at trade and service area | C0480420
[X]Intentional self harm by crashing of motor vehicle, occurrence at trade and service area | C0480486
[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence in residential institution | C0480383
[X]Intentional self harm by crashing of motor vehicle, occurrence at industrial and construction area | C0480487
[X]Intentional self harm by smoke, fire and flames, occurrence at industrial and construction area | C0480421
[X]Intentional self harm by jumping or lying before moving object, occurrence at unspecified place | C0480479
[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at unspecified place | C0480391
[X]Intentional self harm by other and unspecified firearm discharge, occurrence at other specified place | C0480401
[X]Intentional self harm by jumping from a high place, occurrence at other specified place | C0480467
self-inflicted overdose of antigonadotrophins, antiestrogens, and antiandrogens | C3506914
self-inflicted overdose of anabolic cogeners | C3506904
Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, subsequent encounter | C2876844
Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, initial encounter | C2876843
Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, sequela | C2886071
Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, initial encounter | C2883230
Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, subsequent encounter | C2883231
Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, initial encounter | C2883255
Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, subsequent encounter | C2883256
Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm, subsequent encounter | C2879389
Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, sequela | C2883383
Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, sequela | C2886432
Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm, initial encounter | C2879388
Intentional self-harm by jumping or lying in front of other moving object, subsequent encounter | C2905787
Intentional self-harm by jumping or lying in front of other moving object, initial encounter | C2905786
Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter | C2877512
Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, initial encounter | C2878974
Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, initial encounter | C2883811
Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, subsequent encounter | C2883812
Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, subsequent encounter | C2878975
Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, subsequent encounter | C2877513
Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, initial encounter | C2879000
Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, subsequent encounter | C2879001
Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, initial encounter | C2878252
Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, subsequent encounter | C2878253
Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, subsequent encounter | C2883284
Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, initial encounter | C2883283
Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, sequela | C2884336
Toxic effect of venom of other African and Asian snake, intentional self-harm, initial encounter | C2885424
Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm, subsequent encounter | C2886103
Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm, initial encounter | C2886102
Toxic effect of venom of other North and South American snake, intentional self-harm, sequela | C2885392
Toxic effect of venom of other African and Asian snake, intentional self-harm, subsequent encounter | C2885425
Toxic effect of other specified noxious substances eaten as food, intentional self-harm, subsequent encounter | C2885270
Toxic effect of other specified noxious substances eaten as food, intentional self-harm, initial encounter | C2885269
Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm | C2884779
Contract with patient for "no self-harm" to enable the patient to stay physically safe | C4709836
Encourage patient to seek out care providers to talk as urge to harm self occurs | C0510804
Formulate a plan of care with patient including goals for preventing undesired self-harm behaviors | C4709840
Encourage patient to seek out care providers to talk when urge to harm self occurs | C4709838
Remove all items from seclusion area that patient might use to harm self or others | C4713524
[X]Intentional self harm by steam, hot vapours and hot objects, occurrence on street and highway | C0480430
[X]Intentional self harm by other and unspecified firearm discharge, occurrence at sports and athletics area | C0480396
[X]Intentional self harm by jumping or lying before moving object, occurrence on street and highway | C0480474
[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence on street and highway | C0480386
[X]Intentional self harm by steam, hot vapours and hot objects, occurrence at other specified place | C0480434
[X]Intentional self harm by jumping from a high place, occurrence at sports and athletics area | C0480462
[X]Intentional self harm by unspecified means, occurrence at school, other institution and public administrative area | C0480504
[X]Intentional self harm by other and unspecified firearm discharge, occurrence at trade and service area | C0480398
[X]Intentional self harm by other and unspecified firearm discharge, occurrence at industrial and construction area | C0480399
[X]Intentional self harm by jumping or lying before moving object, occurrence at other specified place | C0480478
[X]Intentional self harm by sharp object, occurrence at school, other institution and public administrative area | C0480439
[X]Intentional self harm by jumping from a high place, occurrence at trade and service area | C0480464
[X]Intentional self harm by blunt object, occurrence at school, other institution and public administrative area | C0480450
[X]Intentional self harm by handgun discharge, occurrence at school, other institution and public administrative area | C0480373
[X]Intentional self harm by explosive material, occurrence at school, other institution and public administrative area | C0480406
[X]Intentional self harm by jumping from a high place, occurrence at industrial and construction area | C0480465
[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at other specified place | C0480390
Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, subsequent encounter | C2886070
Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, initial encounter | C2886069
Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, initial encounter | C2886430
Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, initial encounter | C2883381
Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, subsequent encounter | C2883382
Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, subsequent encounter | C2886431
Toxic effect of venom of other North and South American snake, intentional self-harm, subsequent encounter | C2885391
Toxic effect of venom of other North and South American snake, intentional self-harm, initial encounter | C2885390
Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, subsequent encounter | C2884335
Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, initial encounter | C2884334
Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, sequela | C2884782
[X]Intentional self harm by steam, hot vapours and hot objects, occurrence at sports and athletics area | C0480429
[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at sports and athletics area | C0480385
[X]Intentional self harm by steam, hot vapours and hot objects, occurrence at trade and service area | C0480431
[X]Intentional self harm by steam, hot vapours and hot objects, occurrence at industrial and construction area | C0480432
[X]Intentional self harm by drowning and submersion, occurrence at school, other institution and public administrative area | C0480362
[X]Intentional self harm by jumping or lying before moving object, occurrence at sports and athletics area | C0480473
[X]Intentional self harm by jumping or lying before moving object, occurrence at trade and service area | C0480475
[X]Intentional self harm by jumping or lying before moving object, occurrence at industrial and construction area | C0480476
[X]Intentional self harm by other specified means, occurrence at school, other institution and public administrative area | C0480494
[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at industrial and construction area | C0480388
[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at trade and service area | C0480387
States that life isn't worth living, wishes for death, or attempts to harm self in last 2W.frequency | C2924549
States that life isn't worth living, wishes for death, or attempts to harm self in last 2W.presence | C2924550
Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, subsequent encounter | C2884781
Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, initial encounter | C2884780
Apply mitts, splints, helmets, or restraints to limit mobility and ability to initiate self-harm, as appropriate | C0508519
Prevent physical harm if anger is directed at self or others (e.g., restrain and remove potential weapons) | C0514498
Apply mitts, splints, helmets, or restraints to limit mobility and ability to initiate self-harm, if necessary | C4709828
[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at school, other institution and public administrative area | C0480351
[X]Intentional self harm by smoke, fire and flames, occurrence at school, other institution and public administrative area | C0480417
[X]Intentional self harm by crashing of motor vehicle, occurrence at school, other institution and public administrative area | C0480483
[X]Intentional self harm by other and unspecified firearm discharge, occurrence at school, other institution and public administrative area | C0480395
[X]Intentional self harm by jumping from a high place, occurrence at school, other institution and public administrative area | C0480461
